App,Category,Rating,Reviews,Size,Installs,Price,Last updated date,Last updated time,Current Ver,Android Ver,Multidevice
Google My Business,BUSINESS,4.4,70991,Varies with device,"5,000,000+",0,28/12/2018,3:53,2.19.0.204537701,4.4 and up,false
OfficeSuite : Free Office + PDF Editor,BUSINESS,4.3,1002861,35M,"100,000,000+",0,23/06/2021,18:26,9.7.14188,4.1 and up,true
USPS MOBILE®,BUSINESS,3.9,16589,9.1M,"1,000,000+",0,23/02/2020,2:03,4.9.10,4.0.3 and up,false
Job Search by ZipRecruiter,BUSINESS,4.8,148945,25M,"1,000,000+",0,05/03/2020,13:17,5.2.8,5.0 and up,true
Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,4458,3.9M,"500,000+",0,13/08/2018,7:01,3.3,4.1 and up,false
Google Primer,BUSINESS,4.4,62272,18M,"10,000,000+",0,20/10/2018,2:19,3.550.2,4.1 and up,true
Alba Heaven - Alvarez Job Portal Services,BUSINESS,4,8941,12M,"5,000,000+",0,02/06/2021,14:44,4.6.30,4.0.3 and up,false
SuperLivePro,BUSINESS,4.3,46353,21M,"1,000,000+",0,02/11/2017,18:16,2.8,1.5 and up,true
Facebook Pages Manager,BUSINESS,4,1279184,Varies with device,"50,000,000+",0,30/07/2017,14:51,Varies with device,Varies with device,true
OfficeSuite Pro + PDF (Trial),BUSINESS,4.2,88073,Varies with device,"10,000,000+",0,13/12/2020,22:20,Varies with device,Varies with device,true
My Space - Employment Center,BUSINESS,4.5,67000,Varies with device,"1,000,000+",0,15/07/2017,8:21,Varies with device,4.3 and up,false
Box,BUSINESS,4.2,159872,Varies with device,"10,000,000+",0,20/02/2020,17:05,Varies with device,Varies with device,false
Polaris Office for LG,BUSINESS,4.2,30847,55M,"5,000,000+",0,21/11/2019,3:27,7.3.21,4.1 and up,true
Call Blocker,BUSINESS,4.6,188841,3.2M,"5,000,000+",0,12/03/2016,9:13,1.1.13,4.0 and up,true
Jobs in Alabama - Jobs in Alba,BUSINESS,4.1,11622,Varies with device,"5,000,000+",0,09/11/2016,0:40,Varies with device,Varies with device,false
Square Point of Sale - POS,BUSINESS,4.6,95912,Varies with device,"5,000,000+",0,12/06/2015,20:26,Varies with device,Varies with device,true
Plugin:AOT v5.0,BUSINESS,3.1,4034,23k,"100,000+",0,28/02/2016,14:22,3.0.1.11 (Build 311),2.2 and up,true
Kariyer.net,BUSINESS,3.9,45964,16M,"1,000,000+",0,28/11/2019,7:26,5.1.5,4.1 and up,true
SEEK Job Search,BUSINESS,4.3,14955,Varies with device,"1,000,000+",0,30/11/2015,3:28,Varies with device,Varies with device,false
Become a Job - Find a job or advertise,BUSINESS,4.1,6903,14M,"1,000,000+",0,25/03/2019,20:20,2.3.6,4.1 and up,true
ZOOM Cloud Meetings,BUSINESS,4.4,31614,37M,"10,000,000+",0,04/09/2018,13:27,4.1.28165.0716,4.0 and up,true
Easy Installer - Apps On SD,BUSINESS,4.1,23055,Varies with device,"5,000,000+",0,10/07/2016,9:08,Varies with device,Varies with device,true
Facebook Ads Manager,BUSINESS,4.1,19023,Varies with device,"1,000,000+",0,18/03/2019,9:24,99.0.0.35.75,4.1 and up,false
"IndiaMART: Search Products, Buy, Sell & Trade",BUSINESS,4.5,207372,11M,"5,000,000+",0,23/08/2021,0:56,12.2.4,4.0 and up,true
ViettelPost express delivery,BUSINESS,4.4,1225,25M,"100,000+",0,28/06/2021,14:05,1.0.6.8,4.1 and up,false
MyASUS - Service Center,BUSINESS,4.4,380837,7.3M,"10,000,000+",0,24/10/2021,17:57,3.4.5,4.2 and up,false
Job Korea - Career Jobs,BUSINESS,4.3,10600,6.5M,"1,000,000+",0,29/09/2016,14:07,2.5.6,4.0 and up,false
"104 Looking for a job - looking for a job, looking for a job, looking for a part-time job, health checkup, resume, treatment room",BUSINESS,4.4,74359,25M,"1,000,000+",0,05/05/2020,1:37,1.12.5,4.0 and up,true
Myanmar 2D/3D,BUSINESS,4.6,822,3.1M,"100,000+",0,13/08/2017,23:13,1.5,4.0.3 and up,true
Quick PDF Scanner + OCR FREE,BUSINESS,4.2,80805,Varies with device,"5,000,000+",0,15/03/2018,12:55,Varies with device,4.0.3 and up,true
sABN,BUSINESS,4.4,2287,1.5M,"1,000,000+",0,04/08/2018,5:01,4.9,2.2 and up,true
ATI Cargoes and Transportation,BUSINESS,4.7,4162,7.5M,"100,000+",0,21/05/2018,21:43,0.9.4,4.0.3 and up,false
Secure Folder,BUSINESS,3.8,14760,8.6M,"50,000,000+",0,10/06/2017,10:55,1.1.07.6,7.0 and up,false
UPS Mobile,BUSINESS,3.9,23243,Varies with device,"5,000,000+",0,06/03/2018,0:58,Varies with device,Varies with device,false
Y! Mobile menu,BUSINESS,NaN,9,1.2M,"100,000+",0,06/04/2021,19:49,1.0.5,6.0 and up,false
SignEasy | Sign and Fill PDF and other Documents,BUSINESS,4.3,8978,Varies with device,"1,000,000+",0,22/11/2018,21:16,Varies with device,Varies with device,true
Quick PDF Scanner + OCR FREE,BUSINESS,4.2,80805,Varies with device,"5,000,000+",0,22/10/2017,18:03,Varies with device,4.0.3 and up,true
Genius Scan - PDF Scanner,BUSINESS,4.4,42492,Varies with device,"1,000,000+",0,05/02/2018,16:06,Varies with device,Varies with device,true
Tiny Scanner - PDF Scanner App,BUSINESS,4.7,286897,39M,"10,000,000+",0,21/11/2019,8:35,1.2.6,3.0 and up,false
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14M,"10,000,000+",0,23/09/2015,21:23,3.9.2,4.1 and up,false
Mobile Doc Scanner (MDScan) Lite,BUSINESS,4.2,46505,19M,"1,000,000+",0,29/05/2017,14:32,3.4.49,4.1 and up,true
TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442,6.8M,"100,000+",$4.99,16/10/2018,5:18,1.5.2,4.0 and up,true
Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295,39M,"100,000+",$4.99,16/04/2020,7:46,3.4.6,3.0 and up,true
Box,BUSINESS,4.2,159872,Varies with device,"10,000,000+",0,01/01/2018,15:39,Varies with device,Varies with device,false
Zenefits,BUSINESS,4.2,296,14M,"50,000+",0,06/07/2015,15:19,3.2.1,4.1 and up,true
Google Ads,BUSINESS,4.3,29313,20M,"5,000,000+",0,18/11/2021,18:03,1.12.0,4.0.3 and up,false
Google My Business,BUSINESS,4.4,70991,Varies with device,"5,000,000+",0,03/04/2019,5:58,2.19.0.204537701,4.4 and up,false
Slack,BUSINESS,4.4,51507,Varies with device,"5,000,000+",0,25/05/2016,5:13,Varies with device,Varies with device,false
FreshBooks Classic,BUSINESS,4.1,1802,26M,"100,000+",0,06/07/2018,9:34,1.7.14,4.2 and up,true
Insightly CRM,BUSINESS,3.8,1383,51M,"100,000+",0,23/07/2018,1:36,3.24.1,5.0 and up,false
QuickBooks Accounting: Invoicing & Expenses,BUSINESS,4.3,23175,41M,"1,000,000+",0,16/03/2020,20:31,18.7,4.1 and up,true
HipChat - Chat Built for Teams,BUSINESS,3.8,5868,20M,"500,000+",0,02/03/2019,19:37,3.19.005,4.1 and up,false
Xero Accounting Software,BUSINESS,3.5,2111,Varies with device,"100,000+",0,26/07/2015,22:03,Varies with device,Varies with device,false
"MailChimp - Email, Marketing Automation",BUSINESS,4.1,5448,12M,"500,000+",0,04/12/2020,9:56,4.9.1,5.0 and up,true
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159,48M,"500,000+",0,12/07/2017,18:51,6.1.2,4.0.3 and up,false
Asana: organize team projects,BUSINESS,4.3,20815,10M,"1,000,000+",0,17/07/2015,20:54,6.4.4,5.0 and up,false
Google Analytics,BUSINESS,4.5,78662,22M,"1,000,000+",0,20/07/2017,22:35,3.7.5,4.4 and up,false
AdWords Express,BUSINESS,4.1,7149,11M,"1,000,000+",0,18/08/2015,17:39,2.6.158,4.0 and up,true
Accounting App - Zoho Books,BUSINESS,4.5,3079,8.5M,"100,000+",0,09/03/2020,14:01,5.20.7,4.1 and up,true
Invoice & Time Tracking - Zoho,BUSINESS,4.6,5800,8.6M,"100,000+",0,04/02/2020,23:05,5.20.7,4.1 and up,true
join.me - Simple Meetings,BUSINESS,4,6989,Varies with device,"1,000,000+",0,20/07/2017,20:51,4.3.0.508,4.4 and up,true
Invoice 2go — Professional Invoices and Estimates,BUSINESS,4.2,16422,28M,"1,000,000+",0,01/02/2022,11:19,10.46.2,4.1 and up,false
Cisco Webex Meetings,BUSINESS,4.4,108741,28M,"10,000,000+",0,13/02/2018,5:06,11.1.0,4.3 and up,true
ZOOM Cloud Meetings,BUSINESS,4.4,31614,37M,"10,000,000+",0,03/09/2015,3:22,4.1.28165.0716,4.0 and up,true
ScreenMeet. Easy Phone Meeting,BUSINESS,4,624,9.0M,"100,000+",0,02/05/2018,11:54,1.2.287,5.0 and up,false
Cisco Webex Teams,BUSINESS,4.2,1661,46M,"100,000+",0,12/05/2020,10:00,3.0.4651,4.4 and up,false
Microsoft Remote Desktop,BUSINESS,4.2,97702,Varies with device,"5,000,000+",0,06/08/2015,1:14,Varies with device,Varies with device,true
Start Meeting,BUSINESS,4.1,308,14M,"50,000+",0,10/03/2017,19:35,3.1.4.0,4.0.3 and up,false
join.me - Simple Meetings,BUSINESS,4,6989,Varies with device,"1,000,000+",0,31/12/2021,1:17,4.3.0.508,4.4 and up,false
ClickMeeting Webinars,BUSINESS,3.8,5211,26M,"1,000,000+",0,02/06/2020,11:47,3.3.0,4.0 and up,false
BlueJeans for Android,BUSINESS,3.9,1058,23M,"500,000+",0,17/08/2018,7:24,2.22.397,5.0 and up,false
Skype for Business for Android,BUSINESS,3.9,78172,Varies with device,"10,000,000+",0,28/03/2015,4:47,Varies with device,Varies with device,true
Box,BUSINESS,4.2,159872,Varies with device,"10,000,000+",0,01/03/2016,15:30,Varies with device,Varies with device,false
Zenefits,BUSINESS,4.2,296,14M,"50,000+",0,22/04/2017,15:17,3.2.1,4.1 and up,false
Google Ads,BUSINESS,4.3,29313,20M,"5,000,000+",0,02/09/2016,22:44,1.12.0,4.0.3 and up,true
Google My Business,BUSINESS,4.4,70991,Varies with device,"5,000,000+",0,12/09/2016,6:00,2.19.0.204537701,4.4 and up,true
Slack,BUSINESS,4.4,51507,Varies with device,"5,000,000+",0,18/07/2015,10:07,Varies with device,Varies with device,false
FreshBooks Classic,BUSINESS,4.1,1802,26M,"100,000+",0,16/07/2018,17:11,1.7.14,4.2 and up,false
Insightly CRM,BUSINESS,3.8,1383,51M,"100,000+",0,05/02/2018,17:04,3.24.1,5.0 and up,true
QuickBooks Accounting: Invoicing & Expenses,BUSINESS,4.3,23175,41M,"1,000,000+",0,01/11/2017,21:46,18.7,4.1 and up,false
HipChat - Chat Built for Teams,BUSINESS,3.8,5868,20M,"500,000+",0,07/02/2021,7:54,3.19.005,4.1 and up,false
Xero Accounting Software,BUSINESS,3.5,2111,Varies with device,"100,000+",0,08/12/2019,19:43,Varies with device,Varies with device,false
"MailChimp - Email, Marketing Automation",BUSINESS,4.1,5448,12M,"500,000+",0,13/04/2015,23:43,4.9.1,5.0 and up,true
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159,48M,"500,000+",0,28/08/2021,10:18,6.1.2,4.0.3 and up,false
Asana: organize team projects,BUSINESS,4.3,20815,10M,"1,000,000+",0,11/10/2021,19:44,6.4.4,5.0 and up,false
Google Analytics,BUSINESS,4.5,78662,22M,"1,000,000+",0,20/05/2019,9:44,3.7.5,4.4 and up,false
AdWords Express,BUSINESS,4.1,7149,11M,"1,000,000+",0,30/06/2016,19:05,2.6.158,4.0 and up,true
Accounting App - Zoho Books,BUSINESS,4.5,3079,8.5M,"100,000+",0,11/05/2017,14:03,5.20.7,4.1 and up,true
Invoice & Time Tracking - Zoho,BUSINESS,4.6,5800,8.6M,"100,000+",0,21/09/2015,18:34,5.20.7,4.1 and up,true
join.me - Simple Meetings,BUSINESS,4,6989,Varies with device,"1,000,000+",0,10/01/2019,16:25,4.3.0.508,4.4 and up,false
Invoice 2go — Professional Invoices and Estimates,BUSINESS,4.2,16422,28M,"1,000,000+",0,20/01/2022,6:17,10.46.2,4.1 and up,false
SignEasy | Sign and Fill PDF and other Documents,BUSINESS,4.3,8978,Varies with device,"1,000,000+",0,01/05/2018,9:09,Varies with device,Varies with device,false
Quick PDF Scanner + OCR FREE,BUSINESS,4.2,80804,Varies with device,"5,000,000+",0,19/11/2019,13:21,Varies with device,4.0.3 and up,true
Genius Scan - PDF Scanner,BUSINESS,4.4,42492,Varies with device,"1,000,000+",0,20/10/2018,7:45,Varies with device,Varies with device,true
Tiny Scanner - PDF Scanner App,BUSINESS,4.7,286897,39M,"10,000,000+",0,01/01/2020,1:05,1.2.6,3.0 and up,true
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14M,"10,000,000+",0,28/03/2018,7:45,3.9.2,4.1 and up,true
Mobile Doc Scanner (MDScan) Lite,BUSINESS,4.2,46505,19M,"1,000,000+",0,16/11/2018,5:09,3.4.49,4.1 and up,true
TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442,6.8M,"100,000+",$4.99,04/12/2021,8:53,1.5.2,4.0 and up,true
Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295,39M,"100,000+",$4.99,16/12/2018,16:51,3.4.6,3.0 and up,true
Docs To Go™ Free Office Suite,BUSINESS,4.1,217730,Varies with device,"50,000,000+",0,15/04/2018,19:10,Varies with device,Varies with device,false
OfficeSuite : Free Office + PDF Editor,BUSINESS,4.3,1002859,35M,"100,000,000+",0,08/04/2020,9:01,9.7.14188,4.1 and up,true
Slack,BUSINESS,4.4,51510,Varies with device,"5,000,000+",0,02/02/2019,22:33,Varies with device,Varies with device,true
Verify - Receipts & Expenses,BUSINESS,4.5,413,29M,"10,000+",0,04/04/2020,11:56,2.0.19,5.0 and up,false
QuickBooks Accounting: Invoicing & Expenses,BUSINESS,4.3,23175,41M,"1,000,000+",0,08/02/2016,2:00,18.7,4.1 and up,false
LINE WEBTOON - Free Comics,COMICS,4.5,1013635,Varies with device,"10,000,000+",0,10/12/2019,4:35,Varies with device,Varies with device,true
Manga Master - Best manga & comic reader,COMICS,4.6,24005,4.9M,"500,000+",0,13/02/2018,10:50,1.1.7.0,4.1 and up,false
GANMA! - All original stories free of charge for all original comics,COMICS,4.7,57106,27M,"1,000,000+",0,17/03/2018,15:38,2.11.3,4.1 and up,false
Röhrich Werner Soundboard,COMICS,4.7,2249,32M,"500,000+",0,30/04/2016,13:58,1.08,4.0.3 and up,false
Unicorn Pokez - Color By Number,COMICS,4.8,516,12M,"50,000+",0,15/07/2017,12:36,"August 3, 2018",1.0.6,false
MangaToon - Comics updated Daily,COMICS,3.9,834,15M,"50,000+",0,18/12/2016,4:25,1.0.8,4.1 and up,true
Manga Net – Best Online Manga Reader,COMICS,4.1,1010,11M,"50,000+",0,09/08/2019,15:57,1.5,4.1 and up,false
Manga Rock - Best Manga Reader,COMICS,4.4,238970,28M,"1,000,000+",0,08/09/2017,13:25,3.4.3_world,5.0 and up,false
Manga - read Thai translation,COMICS,4.6,302,2.2M,"10,000+",0,10/10/2017,14:47,1,4.0 and up,true
The Vietnam Story - Fun Stories,COMICS,4.5,438,3.4M,"10,000+",0,30/04/2018,10:22,1,2.3 and up,false
Dragon Ball Wallpaper - Ringtones,COMICS,4.7,73,8.3M,"10,000+",0,08/03/2020,4:22,1.9,4.0.3 and up,true
Funny Jokes Photos,COMICS,4.4,39,4.3M,"10,000+",0,10/12/2015,7:20,1.1,4.2 and up,true
Truyện Vui Tý Quậy,COMICS,4.5,144,4.7M,"10,000+",0,15/03/2020,11:56,3,4.0.3 and up,true
Comic Es - Shojo manga / love comics free of charge ♪ ♪,COMICS,3.9,2181,10M,"100,000+",0,05/07/2019,18:00,1.2.12,4.0.3 and up,false
comico Popular Original Cartoon Updated Everyday Comico,COMICS,3.2,93965,15M,"5,000,000+",0,13/04/2019,0:03,6.3.0,4.0.3 and up,true
Daily Manga - Comic & Webtoon,COMICS,3.2,1446,7.1M,"100,000+",0,14/07/2016,14:12,1,4.0.3 and up,true
"漫咖 Comics - Manga,Novel and Stories",COMICS,4.1,12088,21M,"1,000,000+",0,17/03/2019,19:22,2.3.1,4.0.3 and up,false
Emmanuella Funny Videos 2018,COMICS,4.5,314,6.1M,"100,000+",0,14/02/2017,21:16,3.1.0,4.1 and up,false
DC Comics,COMICS,4.2,25671,Varies with device,"1,000,000+",0,08/04/2017,4:37,Varies with device,Varies with device,false
Manga Zero - Japanese cartoon and comic reader,COMICS,4.2,15194,15M,"1,000,000+",0,16/04/2019,1:06,4.7.3,4.2 and up,true
Marvel Unlimited,COMICS,3.7,22551,11M,"1,000,000+",0,28/07/2020,20:56,3.16.0,4.4 and up,false
"Tapas – Comics, Novels, and Stories",COMICS,4.5,29839,29M,"1,000,000+",0,01/09/2021,7:15,4.1.0,4.4 and up,true
Children's cartoons (Mithu-Mina-Raju),COMICS,4.6,279,3.3M,"100,000+",0,09/06/2019,11:37,1.6,4.0 and up,true
Narrator's Voice,COMICS,4.5,564387,Varies with device,"5,000,000+",0,28/09/2020,19:22,Varies with device,Varies with device,false
【Ranobbe complete free】 Novelba - Free app that you can read and write novels,COMICS,NaN,1330,22M,"50,000+",0,14/06/2017,9:27,6.1.1,4.2 and up,false
Faustop Sounds,COMICS,4.7,1677,40M,"100,000+",0,28/09/2021,20:58,1.7.7,4.1 and up,false
Manga Mania - Best online manga reader,COMICS,4.4,757,10M,"10,000+",0,19/05/2018,14:06,1,4.1 and up,false
#NAME?,COMICS,3.5,115,9.1M,"10,000+",0,02/05/2017,5:09,5.0.12,5.0 and up,false
Manga AZ - Manga Comic Reader,COMICS,3.3,125,4.7M,"5,000+",0,23/02/2019,4:41,1.0.4,4.0.3 and up,true
Buff Thun - Daily Free Webtoon / Comics / Web Fiction / Mini Game,COMICS,4.5,9952,38M,"500,000+",0,29/10/2015,4:10,4.3.0,4.1 and up,true
pixiv comic - everyone's manga app,COMICS,4.4,18814,Varies with device,"1,000,000+",0,22/11/2015,9:00,Varies with device,Varies with device,false
Funny Jokes and Stories 2018,COMICS,4.2,21,6.7M,"5,000+",0,11/01/2019,10:34,1.3,4.0 and up,true
Hojiboy Tojiboyev Life Hacks,COMICS,5,15,37M,"1,000+",0,20/04/2018,9:16,2,4.0.3 and up,true
Perfect Viewer,COMICS,4.4,51981,Varies with device,"5,000,000+",0,08/02/2022,5:26,4.2.0.2,2.3 and up,false
"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,4.7,3596,7.8M,"10,000+",0,17/01/2022,15:44,1.01,4.0.3 and up,true
think Comics,COMICS,4.4,1006,19M,"50,000+",0,11/04/2019,12:56,2.3.3,4.0.3 and up,false
Memes Button,COMICS,4.4,5968,5.7M,"1,000,000+",0,04/01/2019,8:09,1.4,4.0 and up,false
"Laftel - Watching and Announcing Snooping, Streaming",COMICS,4.6,4895,35M,"100,000+",0,04/12/2018,11:46,2.4.25,4.4 and up,true
Messenger – Text and Video Chat for Free,COMMUNICATION,4,56642847,Varies with device,"1,000,000,000+",0,20/04/2020,17:26,Varies with device,Varies with device,true
WhatsApp Messenger,COMMUNICATION,4.4,69119316,Varies with device,"1,000,000,000+",0,25/07/2017,13:29,Varies with device,Varies with device,false
Messenger for SMS,COMMUNICATION,4.3,125257,17M,"10,000,000+",0,09/07/2017,9:14,1.8.9,4.1 and up,false
Google Chrome: Fast & Secure,COMMUNICATION,4.3,9642995,Varies with device,"1,000,000,000+",0,08/08/2015,22:57,Varies with device,Varies with device,false
Messenger Lite: Free Calls & Messages,COMMUNICATION,4.4,1429035,Varies with device,"100,000,000+",0,03/06/2016,1:02,37.0.0.7.163,2.3 and up,false
Gmail,COMMUNICATION,4.3,4604324,Varies with device,"1,000,000,000+",0,23/12/2015,16:10,Varies with device,Varies with device,true
Hangouts,COMMUNICATION,4,3419249,Varies with device,"1,000,000,000+",0,28/02/2020,8:32,Varies with device,Varies with device,true
Viber Messenger,COMMUNICATION,4.3,11334799,Varies with device,"500,000,000+",0,30/06/2018,8:20,Varies with device,Varies with device,true
My Tele2,COMMUNICATION,4.3,158679,8.8M,"5,000,000+",0,15/11/2017,19:44,2.4.1,4.4 and up,false
Firefox Browser fast & private,COMMUNICATION,4.4,3075028,Varies with device,"100,000,000+",0,03/06/2018,11:25,Varies with device,Varies with device,true
Yahoo Mail – Stay Organized,COMMUNICATION,4.3,4187998,16M,"100,000,000+",0,31/10/2015,7:05,5.29.3,4.4 and up,false
imo beta free calls and text,COMMUNICATION,4.3,659395,11M,"100,000,000+",0,09/03/2015,23:12,9.8.000000010492,4.0 and up,false
imo free video calls and chat,COMMUNICATION,4.3,4785892,11M,"500,000,000+",0,24/10/2017,12:16,9.8.000000010501,4.0 and up,true
Contacts,COMMUNICATION,4.3,66602,Varies with device,"50,000,000+",0,23/05/2016,3:09,2.8.4.201036949,5.0 and up,true
Call Free – Free Call,COMMUNICATION,4.3,30209,15M,"5,000,000+",0,31/01/2022,22:15,1.3.4,4.1 and up,true
Web Browser & Explorer,COMMUNICATION,4,36901,6.6M,"5,000,000+",0,26/09/2016,14:27,11.8.6,4.0.3 - 7.1.1,false
Opera Mini - fast web browser,COMMUNICATION,4.5,5149854,Varies with device,"100,000,000+",0,12/05/2019,13:27,Varies with device,Varies with device,true
Browser 4G,COMMUNICATION,4.3,192948,6.6M,"10,000,000+",0,04/08/2020,17:12,24.6.6,4.0.3 - 7.1.1,true
MegaFon Dashboard,COMMUNICATION,3.7,99559,Varies with device,"10,000,000+",0,07/01/2022,21:32,Varies with device,Varies with device,true
ZenUI Dialer & Contacts,COMMUNICATION,4.5,437674,Varies with device,"10,000,000+",0,24/12/2016,8:26,Varies with device,Varies with device,false
Cricket Visual Voicemail,COMMUNICATION,3.9,13698,5.1M,"10,000,000+",0,24/02/2020,9:07,3.2.0.100171,4.1 and up,true
Opera Browser: Fast and Secure,COMMUNICATION,4.4,2473509,Varies with device,"100,000,000+",0,12/10/2019,13:17,47.1.2249.129326,Varies with device,false
TracFone My Account,COMMUNICATION,3.6,20769,18M,"1,000,000+",0,14/10/2019,18:56,R6.0.3,4.1 and up,false
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36880,4.0M,"1,000,000+",0,27/11/2020,6:36,5.2,5.0 and up,true
Google Voice,COMMUNICATION,4.2,171031,Varies with device,"10,000,000+",0,20/08/2019,13:40,Varies with device,Varies with device,true
Chrome Dev,COMMUNICATION,4.4,63543,Varies with device,"5,000,000+",0,11/12/2015,23:10,69.0.3497.24,Varies with device,false
Xperia Link™,COMMUNICATION,4.1,45487,Varies with device,"10,000,000+",0,22/11/2021,5:33,Varies with device,Varies with device,false
TouchPal Keyboard - Fun Emoji & Android Keyboard,COMMUNICATION,4.4,615381,37M,"10,000,000+",0,08/02/2017,0:21,6.7.9.1,4.0.3 and up,true
Who,COMMUNICATION,4.3,2451083,Varies with device,"100,000,000+",0,22/11/2021,0:19,Varies with device,Varies with device,true
Skype Lite - Free Video Call & Chat,COMMUNICATION,4.2,33053,22M,"5,000,000+",0,09/05/2018,18:18,1.60.0.31354-release,4.0.3 and up,true
WeChat,COMMUNICATION,4.2,5387333,Varies with device,"100,000,000+",0,18/01/2019,12:48,Varies with device,Varies with device,true
UC Browser Mini -Tiny Fast Private & Secure,COMMUNICATION,4.4,3648120,3.3M,"100,000,000+",0,17/06/2020,20:53,11.4.0,4.0 and up,false
WhatsApp Business,COMMUNICATION,4.4,136662,32M,"10,000,000+",0,04/09/2017,4:43,2.18.116,4.0.3 and up,true
My magenta,COMMUNICATION,3.9,42370,37M,"1,000,000+",0,03/02/2020,17:15,7.5.1,5.0 and up,true
Android Messages,COMMUNICATION,4.2,781810,Varies with device,"100,000,000+",0,16/02/2019,23:36,Varies with device,Varies with device,false
Telegram,COMMUNICATION,4.4,3128250,Varies with device,"100,000,000+",0,21/06/2021,22:29,Varies with device,Varies with device,false
Google Duo - High Quality Video Calls,COMMUNICATION,4.6,2083237,Varies with device,"500,000,000+",0,01/10/2019,22:47,37.1.206017801.DR37_RC14,4.4 and up,true
Puffin Web Browser,COMMUNICATION,4.3,541389,Varies with device,"10,000,000+",0,02/04/2020,10:19,7.5.3.20547,4.1 and up,false
Seznam.cz,COMMUNICATION,4.3,46702,Varies with device,"1,000,000+",0,28/12/2020,19:49,Varies with device,Varies with device,true
Antillean Gold Telegram (original version),COMMUNICATION,4.4,2939,17M,"100,000+",0,04/06/2016,0:13,2.1,4.1 and up,true
AT&T Visual Voicemail,COMMUNICATION,3.7,13761,Varies with device,"10,000,000+",0,01/07/2015,7:33,Varies with device,Varies with device,false
GMX Mail,COMMUNICATION,4.3,258556,Varies with device,"10,000,000+",0,03/12/2020,0:34,Varies with device,Varies with device,false
Omlet Chat,COMMUNICATION,3.9,40751,35M,"10,000,000+",0,16/12/2016,1:22,2.2.7600,4.0.3 and up,true
UC Browser - Fast Download Private & Secure,COMMUNICATION,4.5,17712922,40M,"500,000,000+",0,09/07/2021,16:20,12.8.5.1121,4.0 and up,true
My Vodacom SA,COMMUNICATION,3.7,25021,61M,"5,000,000+",0,13/08/2020,13:07,9.9.0,4.3 and up,true
Microsoft Edge,COMMUNICATION,4.3,27187,66M,"5,000,000+",0,17/07/2015,14:33,42.0.0.2059,4.4 and up,true
WhatsApp Messenger,COMMUNICATION,4.4,69119316,Varies with device,"1,000,000,000+",0,29/03/2016,1:29,Varies with device,Varies with device,false
Messenger – Text and Video Chat for Free,COMMUNICATION,4,56646578,Varies with device,"1,000,000,000+",0,08/12/2016,11:28,Varies with device,Varies with device,false
imo free video calls and chat,COMMUNICATION,4.3,4785988,11M,"500,000,000+",0,20/03/2016,18:48,9.8.000000010501,4.0 and up,true
Hangouts Dialer - Call Phones,COMMUNICATION,4,122498,79k,"10,000,000+",0,16/08/2018,22:45,0.1.100944346,4.0.3 and up,false
Viber Messenger,COMMUNICATION,4.3,11334973,Varies with device,"500,000,000+",0,25/04/2015,12:26,Varies with device,Varies with device,true
Hangouts,COMMUNICATION,4,3419433,Varies with device,"1,000,000,000+",0,17/09/2015,14:50,Varies with device,Varies with device,false
"Talkatone: Free Texts, Calls & Phone Number",COMMUNICATION,4.1,132014,25M,"10,000,000+",0,30/05/2020,5:04,6.1,4.2 and up,false
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14M,"5,000,000+",0,01/12/2017,9:37,3.0.4,4.0 and up,true
free video calls and chat,COMMUNICATION,4.2,594728,Varies with device,"50,000,000+",0,18/11/2017,0:52,7.3(800241),4.4 and up,true
WeChat,COMMUNICATION,4.2,5387446,Varies with device,"100,000,000+",0,30/07/2018,4:50,Varies with device,Varies with device,false
Skype - free IM & video calls,COMMUNICATION,4.1,10484169,Varies with device,"1,000,000,000+",0,31/05/2015,19:14,Varies with device,Varies with device,false
Telegram,COMMUNICATION,4.4,3128509,Varies with device,"100,000,000+",0,20/07/2021,0:10,Varies with device,Varies with device,false
Who,COMMUNICATION,4.3,2451093,Varies with device,"100,000,000+",0,01/09/2019,7:55,Varies with device,Varies with device,false
Google Voice,COMMUNICATION,4.2,171031,Varies with device,"10,000,000+",0,07/05/2020,13:33,Varies with device,Varies with device,true
"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,4.4,2876500,24M,"100,000,000+",0,21/06/2018,20:23,7.73,4.0 and up,false
Android Messages,COMMUNICATION,4.2,781810,Varies with device,"100,000,000+",0,16/06/2020,16:21,Varies with device,Varies with device,true
"Messaging+ SMS, MMS Free",COMMUNICATION,4.1,28238,17M,"1,000,000+",0,14/03/2021,5:18,4.98,2.3 and up,false
chomp SMS,COMMUNICATION,4.3,335646,8.3M,"10,000,000+",0,20/03/2016,16:54,7.21,2.3 and up,true
